model,target,metric,aggregation_unit,n_repeats,mean,std,se,ci95_low,ci95_high
MLP Optuna,Gas_Yield_pct,mae,répétition OOF complète,5,1.612376760418405,0.012851570211066464,0.005747396921911186,1.5964194283669357,1.6283340924698742
MLP Optuna,Gas_Yield_pct,rmse,répétition OOF complète,5,1.9998818277017043,0.015430520381225018,0.006900738500123022,1.9807223060707877,2.0190413493326207
MLP Optuna,Gas_Yield_pct,r2,répétition OOF complète,5,0.13561281234514394,0.013363543931537599,0.005976358530244573,0.11901978095693931,0.15220584373334856
MLP Optuna,HBr_pct,mae,répétition OOF complète,5,0.27069218634116765,0.0013102562817342226,0.0005859644227807676,0.2690652882877179,0.2723190843946174
MLP Optuna,HBr_pct,rmse,répétition OOF complète,5,0.3488304093287294,0.0017398993551210541,0.0007781066464117447,0.34667003893897763,0.35099077971848114
MLP Optuna,HBr_pct,r2,répétition OOF complète,5,0.8796903091187757,0.001201115707817361,0.0005371552743044789,0.8781989269867018,0.8811816912508496
MLP Optuna,HCl_pct,mae,répétition OOF complète,5,0.04120582163581734,0.00020760061251093347,9.28418163490081e-05,0.04094805142925746,0.04146359184237722
MLP Optuna,HCl_pct,rmse,répétition OOF complète,5,0.05378017057314303,0.00026788799392176257,0.00011980315295302231,0.05344754369553935,0.05411279745074671
MLP Optuna,HCl_pct,r2,répétition OOF complète,5,0.8319615274473835,0.0016722961860924865,0.0007478735901232876,0.829885097478779,0.834037957415988
MLP Optuna,HF_pct,mae,répétition OOF complète,5,0.0051936331599641405,4.6774755463472415e-05,2.09183065694508e-05,0.005135554630080362,0.005251711689847919
MLP Optuna,HF_pct,rmse,répétition OOF complète,5,0.00663335929212366,4.976605471205055e-05,2.225605626162375e-05,0.006571566573655068,0.006695152010592251
MLP Optuna,HF_pct,r2,répétition OOF complète,5,0.6701391542236499,0.004944684214089804,0.0022113300059949845,0.6639995178525281,0.6762787905947717
MLP Optuna,Liquid_Yield_pct,mae,répétition OOF complète,5,2.470468248699119,0.024874624024342363,0.01112427004663578,2.4395823235792387,2.5013541738189993
MLP Optuna,Liquid_Yield_pct,rmse,répétition OOF complète,5,3.0866442881953784,0.030011153954607513,0.013421396065142806,3.0493805187853917,3.123908057605365
MLP Optuna,Liquid_Yield_pct,r2,répétition OOF complète,5,0.14818411461921868,0.016587224974048496,0.007418032520010924,0.1275883545388363,0.16877987469960107
MLP Optuna,Solid_Yield_pct,mae,répétition OOF complète,5,2.893277462186591,0.01924837028181918,0.008608132881246894,2.869377453783561,2.917177470589621
MLP Optuna,Solid_Yield_pct,rmse,répétition OOF complète,5,3.6290069701786627,0.020149744951025485,0.009011239887955231,3.6039877572999863,3.654026183057339
MLP Optuna,Solid_Yield_pct,r2,répétition OOF complète,5,0.24047755625041636,0.008433275120046189,0.0037714752882761953,0.23000626214690748,0.2509488503539252
Prédicteur naïf (moyenne),Br2_pct,mae,répétition OOF complète,5,0.05792086999999998,3.4828777612940588e-06,1.5575902863151603e-06,0.057916545436073635,0.05792519456392632
Prédicteur naïf (moyenne),Br2_pct,rmse,répétition OOF complète,5,0.06978286946157626,4.637968567490215e-06,2.0741625988830882e-06,0.0697771106629812,0.06978862826017132
Prédicteur naïf (moyenne),Br2_pct,r2,répétition OOF complète,5,-0.00035846794346116,0.00013297205759600875,5.946691197853856e-05,-0.0005235745601452014,-0.0001933613267771186
Prédicteur naïf (moyenne),Cl2_pct,mae,répétition OOF complète,5,0.035018645,5.020812932185773e-06,2.245375803735486e-06,0.03501241083734039,0.03502487916265961
Prédicteur naïf (moyenne),Cl2_pct,rmse,répétition OOF complète,5,0.042319927223320404,5.281200253591093e-06,2.361824553963762e-06,0.04231336974709821,0.042326484699542595
Prédicteur naïf (moyenne),Cl2_pct,r2,répétition OOF complète,5,-0.00038086613017384,0.0002496966240365913,0.00011166772501960522,-0.0006909054387130961,-7.08268216345839e-05
Prédicteur naïf (moyenne),Gas_Yield_pct,mae,répétition OOF complète,5,1.729366685,0.0008297103530000118,0.0003710577501886746,1.728336463525743,1.730396906474257
Prédicteur naïf (moyenne),Gas_Yield_pct,rmse,répétition OOF complète,5,2.152697899726241,0.0003615966889822717,0.00016171095540064173,2.152248918135662,2.15314688131682
